Name,Energy,Fat,Saturated_fat,Carbohydrate,Sugars,Fiber,Proteins,Salt,Sodium,Alcohol,Zinc,Magnesium,Omega3,Score,Img
Ajo molido deshidratado — Casa Femafa — 60 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_506_531_0115_front_es.5.200.jpg
Ajo molido deshidratado — Carrefour Bio — 50 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_187_607_3775_front_es.5.200.jpg
Crema de calabaza — Solfrío — 500 ml,146 kj(35 kcal),"1,2 g","0,2 g","4,2 g","2,6 g","2,3 g","0,7 g","0,8 g","0,315 g",Na,Na,Na,Na,B,_843_700_273_8341_front_es.9.200.jpg
"Aceitunas aliñadas Aloreña — El Cultivador — 835 g (neto), 500 g (escurrido), 850 ml",901 kj(215 kcal),23 g,"4,3 g",0 g,0 g,Na,"1,1 g","4,3 g","1,693 g",Na,Na,Na,Na,D,_24051514_front_es.8.200.jpg
Estevia seca molida — Pinisan — 50 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_500_100_6348_front_es.5.200.jpg
Anís verde — Pinisan — 100 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_500_100_4191_front_es.6.200.jpg
Bebida de soja — SuperSol — 1 l,181 kj(43 kcal),"1,7 g","0,3 g","3,7 g",3 g,"< 0,5 g","3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_843_080_303_1536_front_es.11.200.jpg
Arroz integral — Dia — 1 Kg,1472 kj(352 kcal),"2,8 g","0,6 g",70 g,"2,2 g",Na,"8,4 g",0 g,0 g,Na,Na,Na,Na,A,_848_001_773_5867_front_es.10.200.jpg
Chocolate fondant extrafino negro 48% cacao — SuperSol — 150 g,2144 kj(512 kcal),32 g,20 g,49 g,46 g,"3,6 g","5,8 g","0,01 g","0,004 g",Na,Na,Na,Na,E,_843_080_300_8118_front_es.17.200.jpg
Calabaza troceada — El Valle de Madriles — 600 g (variable),Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_251_504_700_1388_front_es.6.200.jpg
Calabaza — El Valle de Madriles — 1 Kg (variable),Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_841_463_719_1116_front_es.4.200.jpg
Calabaza — El Guapo — 1 pieza,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_240_294_600_9051_front_es.6.200.jpg
Calabaza — Talví — 1 pieza,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_603_270_0571_front_es.5.200.jpg
Preparado para gazpacho — Talví — 1 Kg (aprox),Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_291_465_600_1985_front_es.5.200.jpg
Tomates cherry — Caparrós — 300 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_600_148_3511_front_es.5.200.jpg
"Corazones de alcachofa en cuartos — Carrefour — 390 g (neto), 240 g (escurrido), 425 ml",145 kj(35 kcal),0 g,0 g,6 g,"1,6 g","1,5 g","1,8 g","0,7 g","0,276 g",Na,Na,Na,Na,A,_356_007_074_2424_front_es.8.200.jpg
Guisantes frescos en vaina — Sin marca — 218 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_296_060_800_1206_front_es.5.200.jpg
Hierbabuena fresca — Carrefour — 20 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_187_621_5892_front_es.6.200.jpg
Hierbabuena seca molida — Alipende — 16 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_842_169_181_4448_front_es.5.200.jpg
Helado vegetal de arroz - Sabor leche merengada — The Bio Factory — 500 ml,390 kj(93 kcal),"0,2 g",Na,"24,5 g",Na,Na,0 g,Na,Na,Na,Na,Na,Na,Na,_843_800_150_8430_front_es.8.200.jpg
Helado vegetal de chocolate — The Bio Factory — 500 ml,514 kj(123 kcal),5 g,Na,19 g,Na,Na,1 g,Na,Na,Na,Na,Na,Na,Na,_843_800_150_8409_front_es.7.200.jpg
Helado vegetal de coco — The Bio Factory — 500 ml,435 kj(104 kcal),"5,5 g",Na,"18,4 g",Na,Na,"0,8 g",Na,Na,Na,Na,Na,Na,Na,_843_800_150_8416_front_es.7.200.jpg
Azúcar blanco — Azucarera — 800 g,1700 kj(406 kcal),0 g,0 g,100 g,100 g,Na,Na,0 g,0 g,Na,Na,Na,Na,Na,_841_071_410_7476_front_es.8.200.jpg
Bruschetta con pimiento — Italia — 170 g,1180 kj(282 kcal),"29,1 g","3,4 g","4,8 g","3,7 g","1,2 g","0,7 g","1,6 g","0,63 g",Na,Na,Na,Na,D,_24012485_front_es.6.200.jpg
Bruschetta con olivas — Italia — 170 g,1610 kj(385 kcal),"41,6 g","3,1 g","1,6 g","0,7 g","3,1 g","1,1 g","2,032 g","0,8 g",Na,Na,Na,Na,D,_200_000_000_7820_front_es.6.200.jpg
Bruschetta con tomates — Italia — 170 g,1718 kj(411 kcal),"42,7 g","5,1 g","5,2 g","2,1 g","3,4 g","1,3 g","1,981 g","0,78 g",Na,Na,Na,Na,D,_200_000_000_7819_front_es.8.200.jpg
Bruschetta vegetal de alcachofas — Apis — 140 g,890 kj(213 kcal),18 g,2 g,"9,2 g",4 g,"5,1 g","1,6 g","1,7 g","0,669 g",Na,Na,Na,Na,C,_841_021_820_4763_front_es.8.200.jpg
Hojas de cilantro fresco — Carrefour — 20 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_187_621_5946_front_es.6.200.jpg
