Name,Energy,Fat,Saturated_fat,Carbohydrate,Sugars,Fiber,Proteins,Salt,Sodium,Alcohol,Zinc,Magnesium,Omega3,Score,Img
"Aceitunas verdes enteras ""Baresa"" Variedad Gordal — 950 g (neto), 570 g (escurrido)",569 kj(136 kcal),14 g,"2,7 g",0 g,0 g,Na,"1,3 g",4 g,"1,575 g",Na,Na,Na,Na,C,_20035938_front_es.6.200.jpg
Turron Duro Sin Azucares anadidos — El Almendro — 200 g e,2067 kj(494 kcal),36 g,3 g,38 g,4 g,Na,15 g,"0,02 g","0,008 g",Na,Na,Na,Na,B,_841_022_390_2067_front_fr.3.200.jpg
Margarine — Tulipan — 500g,2255 kj(539 kcal),60 g,18 g,15 g,0 g,Na,0 g,"0,32 g","0,126 g",Na,Na,Na,3 g,D,_841_380_001_2500_front_es.9.200.jpg
Dattes — Hacendado — 350 g,1561 kj(373 kcal),"0,2 g",0 g,87 g,70 g,0 g,"1,1 g",0 g,0 g,Na,Na,Na,Na,C,_848_000_034_9064_front_fr.3.200.jpg
"Vino tinto ""Fortius"" 2010 — 75 cl",Na,Na,Na,Na,Na,Na,Na,Na,Na,"13,5 % vol",Na,Na,Na,Na,_843_700_183_8905_front_es.5.200.jpg
"Dátiles con hueso en rama ""El Monaguillo"" Variedad Deglet Nour — 500 g",1180 kj(282 kcal),"0,3 g","0,1 g",75 g,63 g,8 g,"2,45 g","5,08 g",2 g,Na,Na,83 mg,Na,D,_841_042_635_0054_front_es.11.200.jpg
Baguette sin gluten — Beiker — 175 g,967 kj(231 kcal),"2,5 g","0,4 g","45,3 g",3 g,"6,3 g","3,2 g","1,016 g","0,4 g",Na,Na,Na,Na,B,_843_601_258_3248_front_es.5.200.jpg
Feijocas en molho de tomate — Eridanous — 280 g,597 kj(143 kcal),7 g,"1,7 g","11,6 g","2,6 g",Na,"5,3 g","1,1 g","0,433 g",Na,Na,Na,Na,C,_20026394_front_pt.10.200.jpg
Triple d'Anvers — De Koninck — 33 cl,Na,Na,Na,Na,Na,Na,Na,Na,Na,8 % vol,Na,Na,Na,Na,_54107090_front_fr.6.200.jpg
"Tortitas de arroz con chocolate negro — Ecocesta Productos Ecológicos — 100 g (6 x 16,6 g)",2000 kj(478 kcal),22 g,14 g,"58,5 g","21,6 g",Na,"6,7 g","0,015 g","0,006 g",Na,Na,Na,Na,E,_842_258_400_0450_front_es.25.200.jpg
Chili vegetal — Veg in — 320 g,427 kj(102 kcal),"4,3 g","0,6 g","7,5 g","3,1 g","4,9 g",6 g,"0,95 g","0,374 g",Na,Na,Na,Na,A,_560_075_272_8181_front_es.11.200.jpg
"Sushi Makis Surtido Vegano — Leroy — 135 g, 8 makis",668 kj(160 kcal),"2,2 g","0,4 g",31 g,"7,8 g",Na,"3,2 g",1 g,"0,394 g",Na,Na,Na,Na,C,_843_655_054_1724_front_es.8.200.jpg
Veganesa — Gutbio — 250 ml,1871 kj(447 kcal),47 g,"3,4 g","6,7 g","4,4 g",Na,"0,8 g","0,75 g","0,295 g",Na,Na,Na,Na,D,_24086745_front_es.8.200.jpg
Miel Cru à Prédominance de Vipérine — Finca El Capote — 490 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_060_611_035_0921_front_fr.6.200.jpg
Galletas Tostadas al horno — Flora — 450 g e,1816 kj(434 kcal),12 g,"1,2 g",74 g,21 g,"3,4 g","6,2 g","0,76 g","0,299 g",Na,Na,Na,Na,C,_841_380_001_6805_front_es.15.200.jpg
Chocolate negro con pepitas de cacao caramelizadas — Delicious Dia — 100 g,2231 kj(533 kcal),37 g,23 g,34 g,28 g,Na,10 g,"0,03 g","0,012 g",Na,Na,Na,Na,E,_848_001_718_1183_front_es.8.200.jpg
Chocolate negro 74% con pepitas de cacao caramelizadas — Auchan — 100 g,2319 kj(554 kcal),41 g,25 g,31 g,26 g,12 g,11 g,0 g,0 g,Na,Na,Na,Na,D,_326_071_107_9772_front_es.18.200.jpg
Chocolate negro con pepitas de cacao 72% cacao — Hacendado — 100 g,2368 kj(566 kcal),43 g,26 g,33 g,29 g,11 g,"7,5 g","0,01 g","0,004 g",Na,Na,Na,Na,D,_848_000_012_1134_front_es.17.200.jpg
Chocolate negro con pepitas de cacao 70% cacao — Intermón Oxfam — 100 g,2414 kj(577 kcal),"43,8 g","27,6 g","33,4 g","25,7 g",Na,"7,7 g","0,02 g","0,008 g",Na,Na,Na,Na,E,_843_700_761_1519_front_es.7.200.jpg
Chocolate Extra 70% con pepitas tostadas caramelizadas — Carrefour — 100 g,2228 kj(533 kcal),37 g,23 g,34 g,28 g,14 g,10 g,"0,03 g","0,012 g",Na,Na,Na,Na,D,_843_187_608_1923_front_es.18.200.jpg
Chocolate Negro Naranja 70% — Valor — 200 g,2171 kj(519 kcal),35 g,22 g,34 g,29 g,Na,10 g,"0,1 g","0,039 g",Na,Na,Na,Na,E,_841_010_911_0524_front_es.6.200.jpg
Chocolate negro con naranja 70% cacao — Lacasa — 150 g,2098 kj(501 kcal),27 g,"16,2 g",58 g,"51,1 g","0,004 g","5,1 g","0,01 g","0,004 g",Na,Na,Na,Na,E,_841_074_001_5073_front_es.7.200.jpg
Chocolate negro 70% cacao con naranja — Valor — 150 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_841_010_900_8852_front_es.4.200.jpg
Chocolate negro con almendras y naranja 52% cacao — Moser-Roth — 125 g  (5 x 25 g),2240 kj(535 kcal),"33,5 g","18,6 g","50,8 g","47,1 g",Na,"5,1 g","0,04 g","0,016 g",Na,Na,Na,Na,E,_200_000_001_3584_front_es.7.200.jpg
Chocolate negro sabor naranja 58% cacao - DESCATALOGADO — Mascao — 100 g,2080 kj(497 kcal),33 g,Na,53 g,Na,Na,6 g,Na,Na,Na,Na,Na,Na,Na,_843_700_141_5991_front_es.6.200.jpg
Chocolate negro con jengibre y naranja 56% cacao — Vegetalia — 100 g,2400 kj(574 kcal),38 g,Na,50 g,Na,Na,7 g,Na,Na,Na,Na,Na,Na,Na,_842_279_100_5170_front_es.6.200.jpg
Chocolate negro con naranja 56% cacao — Chocolates Solé — 100 g,2400 kj(574 kcal),"37,9 g","22,7 g","50,5 g",44 g,2 g,"7,9 g","0,01 g","0,004 g",Na,Na,Na,Na,E,_841_106_600_2884_front_es.5.200.jpg
Chocolate negro con naranja edulcorado 70% cacao — Clavileño — 100 g,2094 kj(500 kcal),"37,7 g","23,3 g","39,1 g",8 g,10 g,"8,3 g","0,025 g","0,01 g",Na,Na,Na,Na,D,_841_127_300_0710_front_es.5.200.jpg
Chocolate puro avellanas 52% cacao — Valor — 250 g,2372 kj(567 kcal),40 g,18 g,41 g,38 g,Na,"8,4 g","0,07 g","0,028 g",Na,Na,Na,Na,E,_841_010_900_0115_front_es.20.200.jpg
Chocolate negro con avellanas 52% de cacao — El Corte Inglés — 150 g,2271 kj(543 kcal),"38,1 g",Na,"42,6 g",Na,Na,8 g,Na,Na,Na,Na,Na,Na,Na,_841_010_900_2720_front_es.6.200.jpg
Hinojo — Lord Nelson — 40 g (20 x 2 g),Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_20685706_front_es.7.200.jpg
Aperitivo de Patata Salado — Sin marca — 175 g,2216 kj(530 kcal),32 g,"3,3 g",56 g,"0,6 g","2,6 g","3,5 g","1,5 g","0,591 g",Na,Na,Na,Na,D,_200_000_006_7991_front_es.8.200.jpg
Plátano de Canarias — Los Saboritos — Variable,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_141_800_6056_front_es.6.200.jpg
Hamburguesas Verduras y Legumbres Lenteja roja y chía — Biográ — 155 g (2 Ud),968 kj(231 kcal),"6,93 g","1,96 g","33,67 g","1,58 g","4,29 g","6,33 g","1,53 g","0,602 g",Na,Na,Na,Na,B,_842_690_417_3565_front_es.5.200.jpg
Rooibos con vainilla — Pompadour — 40 g (20 x 2 g),Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,C,_841_290_040_1009_front_es.9.200.jpg
Braseado mediterráneo con berenjena y calabacín — Monissa — 400 g,252 kj(60 kcal),"2,3 g","0,3 g","6,5 g","6,1 g",Na,"1,8 g","0,73 g","0,287 g",Na,Na,Na,Na,C,_40889641_front_es.7.200.jpg
"Coliflor, Brócoli y Zanahoria — Freshona — 1 Kg",153 kj(37 kcal),"0,5 g","0,1 g",5 g,"1,8 g","2,8 g","1,6 g","0,07 g","0,028 g",Na,Na,Na,Na,A,_40889689_front_es.7.200.jpg
Leche entera — Asturiana — 1 L,264 kj(63 kcal),"3,6 g","2,4 g","4,6 g","4,6 g",Na,"3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,B,_841_029_711_2041_front_en.13.200.jpg
Bebida de soja — Hacendado — 1 l,129 kj(31 kcal),"1,7 g","0,3 g","0,6 g","0,6 g","0,4 g","3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_848_000_029_3145_front_es.21.200.jpg
Crema casera de calabaza — Gallina Blanca — 500 ml,190 kj(45 kcal),"2,5 g","0,4 g",4 g,"3,1 g","1,5 g",1 g,"0,75 g","0,295 g",Na,Na,Na,Na,B,_841_030_035_7537_front_es.12.200.jpg
Caramelised Cashews — Eridanous — 120 g,2201 kj(526 kcal),"28,4 g",6 g,"54,1 g","47,3 g",Na,"11,6 g","0,83 g","0,327 g",Na,Na,Na,Na,E,_20916398_front_es.15.200.jpg
Caramelised Peanuts — Eridanous — 150 g,2117 kj(506 kcal),"24,9 g","4,9 g","56,1 g","49,7 g",Na,"11,6 g","1,23 g","0,484 g",Na,Na,Na,Na,E,_20916404_front_es.9.200.jpg
Il Gelato a base de Coco 4 Minibombones — Valsoia — 200 g (4 x 50 g),1280 kj(306 kcal),20 g,16 g,29 g,25 g,"2,3 g","1,7 g","0,09 g","0,035 g",Na,Na,Na,Na,D,_800_604_014_0562_front_es.8.200.jpg
Especialidad vegetal Soja — Carrefour — 600 g (6 x 100 g),192 kj(46 kcal),"2,3 g","0,3 g","2,1 g","0,5 g","0,8 g","3,7 g","0,08 g","0,031 g",Na,Na,Na,Na,A,_356_007_073_2944_front_fr.32.200.jpg
Kaxula — Venta Peio — 190 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_841_254_090_0733_front_fr.7.200.jpg
Soja calcio — Carrefour — 1 l,180 kj(43 kcal),"1,7 g","0,3 g",0 g,0 g,Na,"3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_843_187_624_5561_front_es.8.200.jpg
AOP piment d'Espelette — A. Etchebarne Esteban — 50 g,0 kj(0 kcal),0 g,0 g,0 g,0 g,0 g,0 g,0 g,0 g,Na,Na,Na,Na,B,_377_000_278_7144_front_fr.9.200.jpg
Crema de Almendras — Nectina — 500 g,1423 kj(340 kcal),"11,5 g","1,2 g",53 g,"41,5 g",Na,"4,5 g",Na,Na,Na,Na,Na,Na,Na,_841_273_750_0623_front_es.7.200.jpg
Mezcla de Semillas — Grainway — 200 g e,2506 kj(599 kcal),"51,9 g","6,9 g","2,4 g","2,4 g","14,3 g","23,4 g","0,02 g","0,008 g",Na,Na,Na,Na,C,_800_870_502_5030_front_es.6.200.jpg
"Uvas pasas ""Casa Pons"" Variedad Sultana — 350 g",1356 kj(324 kcal),"1,1 g","0,4 g",73 g,61 g,"3,7 g","3,1 g",0 g,0 g,Na,Na,Na,Na,C,_841_110_902_3708_front_es.16.200.jpg
Campurrianas — Cuétara — 800 g,1912 kj(457 kcal),15 g,"7,2 g",74 g,26 g,Na,5 g,"0,7 g","0,276 g",Na,Na,Na,Na,E,_841_001_430_8351_front_es.5.200.jpg
Huevos Frescos de Gallina Camperas — Guillen — 6 huevos / 342g,628 kj(150 kcal),"11,1 g","3,1 g","0,5 g","0,5 g",Na,"12,5 g","0,36 g","0,142 g",Na,Na,Na,Na,B,_841_138_400_3020_front_es.6.200.jpg
Semillas de girasol con cáscara tostadas aguasal Gigantes — Hacendado — 200 g,2640 kj(631 kcal),"52,4 g","5,8 g","5,7 g","4,3 g",9 g,"30,1 g",2 g,"0,787 g",Na,Na,129 mg,Na,D,_848_000_034_0788_front_es.6.200.jpg
Principe crema de chocolate — LU — 300 g,1937 kj(463 kcal),17 g,"5,7 g",70 g,31 g,"4,5 g","6,1 g","0,6 g","0,236 g",Na,Na,Na,Na,D,_762_221_020_4424_front_es.13.200.jpg
Bebida de avellanas — Milbona — 1 l,151 kj(36 kcal),"2,1 g","0,2 g","3,4 g","3,2 g","0,4 g","0,6 g","0,1 g","0,039 g",Na,Na,Na,Na,B,_20879983_front_es.9.200.jpg
"Galletas María — Gullón — 350 g. (neto), (2 x 175 g)",1996 kj(477 kcal),"18,5 g","9,2 g",69 g,"17,7 g",2 g,"7,2 g","0,7 g","0,276 g",Na,Na,Na,Na,D,_841_037_602_2476_front_es.25.200.jpg
Fondue au Chocolat — Miguelanez — 250 g e,1500 kj(359 kcal),"11,6 g","7,9 g","54,3 g","53,6 g",Na,"3,6 g","0,04 g","0,016 g",Na,Na,Na,Na,E,_841_182_350_4804_front_fr.5.200.jpg
Chorizo extra de pavo — HACENDADO — 150g (75g x 2),1053 kj(252 kcal),15 g,"4,2 g","3,3 g","3,3 g",Na,26 g,Na,Na,Na,Na,Na,Na,Na,_848_000_059_0466_front_es.3.200.jpg
"Aceite de sésamo ""VitAsia"" — 250 ml",3464 kj(828 kcal),92 g,15 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,Na,D,_20333126_front_es.6.200.jpg
Sylesse chocolate — Carrefour — 500 g,1653 kj(395 kcal),"5,5 g","3,8 g",76 g,22 g,"6,3 g","7,4 g","0,63 g","0,248 g",Na,Na,Na,Na,C,_356_007_058_2853_front_fr.32.200.jpg
Postre de soja Vainilla — Milbona — 400 g (4 x 100 g),346 kj(83 kcal),"1,6 g","0,3 g","13,5 g","10,2 g",Na,"2,9 g","0,15 g","0,059 g",Na,Na,Na,Na,B,_20448394_front_es.10.200.jpg
"Aceitunas rellenas de limón — Hacendado — 350 g neto, 150 g escurrido, 370 ml",658 kj(157 kcal),"15,9 g",3 g,"2,7 g","< 0,5 g",Na,"1,4 g","2,3 g","0,906 g",Na,Na,Na,Na,D,_848_000_033_1267_front_es.8.200.jpg
Leche de avena con almendras — Gerblé — 1 L,243 kj(58 kcal),"2,4 g","0,3 g",7 g,5 g,"0,7 g","1,8 g","0,05 g","0,02 g",Na,Na,Na,Na,B,_317_568_115_0027_front_es.19.200.jpg
Zumo de Naranja Exprimido — Vitafit — 750 ml,172 kj(41 kcal),0 g,0 g,"9,4 g","8,6 g","0,1 g","0,7 g",0 g,0 g,Na,Na,Na,Na,B,_20477295_front_es.11.200.jpg
Cacahuètes en Coque — Frit Ravich — 1 kg,2657 kj(635 kcal),53 g,11 g,"3,9 g","3,9 g","7,9 g",27 g,"< 0,01 g","0,004 g",Na,Na,Na,Na,B,_841_056_400_2105_front_fr.4.200.jpg
Frutos secos crudos — GutBio — 100 g,2506 kj(599 kcal),"50,3 g","5,7 g",0 g,0 g,"5,7 g","16,9 g",0 g,0 g,Na,Na,Na,Na,C,_24042352_front_es.6.200.jpg
Frambuesas — Onuba Fruit — 125 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_842_405_900_2013_front_es.34.200.jpg
Hamburguesa vegetal de Boletus — Soria Natural — 160 g (2 x 80 g),838 kj(200 kcal),"7,03 g","1,14 g","23,09 g","1,48 g","4,28 g","9,02 g","1,15 g","0,453 g",Na,Na,Na,Na,A,_842_294_751_0213_front_es.23.200.jpg
Kas Naranja — 2 l,159 kj(38 kcal),0 g,0 g,"7,6 g","7,6 g",0 g,0 g,0 g,0 g,Na,Na,Na,Na,E,_841_040_805_0354_front_es.23.200.jpg
Melaza de caña de azúcar — Al-Andalus Delicatessen — 460 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_700_518_3278_front_es.5.200.jpg
"Galletas Avena con chocolate — Carrefour — 150 g, 8 biscuits",2117 kj(506 kcal),26 g,14 g,60 g,41 g,4 g,5 g,"0,65 g","0,256 g",Na,Na,Na,Na,E,_356_007_049_0929_front_fr.56.200.jpg
Barritas con Avellana — Dia — 150 g (6 * 25 g),1842 kj(440 kcal),15 g,"4,3 g","64,8 g","21,9 g","5,1 g","8,5 g","0,25 g","0,098 g",Na,Na,Na,Na,C,_848_001_743_9482_front_es.18.200.jpg
Philadelphia — 270 g e,1172 kj(280 kcal),"27,5 g","19,5 g","2,7 g","2,7 g","0,1 g","4,5 g","1,05 g","0,413 g",Na,Na,Na,Na,D,_762_221_010_3963_front_fr.3.200.jpg
"Tortitas de maíz con tomate — Bicentury — 123,5 g (13 x 9,5 g)",2013 kj(481 kcal),17 g,"1,9 g",73 g,"0,8 g","1,6 g","7,7 g","1,21 g","0,476 g",Na,Na,Na,Na,D,_842_320_720_7478_front_es.6.200.jpg
Tahin — Monki — 650 g,2761 kj(660 kcal),58 g,8 g,6 g,0 g,Na,27 g,"0,41 g","0,161 g",Na,Na,Na,Na,D,_871_243_903_6100_front_es.5.200.jpg
Bebida de Soja — Carrefour — 1 l,159 kj(38 kcal),2 g,"0,3 g","1,2 g","0,6 g","0,6 g","3,6 g","0,05 g","0,02 g",Na,Na,Na,Na,A,_843_187_611_4553_front_es.16.200.jpg
Steak de courgette — Soria Natural — 160 g (2 x 80 g),975 kj(233 kcal),"10,86 g","1,76 g","15,64 g","1,5 g","4,64 g","15,89 g","1,17 g","0,461 g",Na,Na,Na,Na,A,_842_294_751_0169_front_es.31.200.jpg
Chips de verduras — Crusti Croc — 100 g,2146 kj(513 kcal),"34,9 g","3,7 g","40,5 g","19,7 g",Na,"4,4 g",1 g,"0,394 g",Na,Na,Na,Na,D,_20261894_front_es.8.200.jpg
Patatas fritas onduladas — Ruffles — 170 g,2252 kj(538 kcal),"35,1 g","15,6 g","47,7 g","0,6 g","4,4 g","6,3 g","1,27 g","0,5 g",Na,Na,Na,Na,D,_841_019_901_2005_front_es.4.200.jpg
"Salsa alioli ""Ferrer"" — 140 g (neto), 156 ml",2887 kj(690 kcal),"75,9 g","9,1 g","1,6 g",1 g,"0,086 g","0,28 g",Na,Na,Na,Na,Na,Na,Na,_841_102_601_1710_front_es.6.200.jpg
Ananas surgelé — Sin marca — 300 g,176 kj(42 kcal),"0,1 g","0,1 g",8 g,"7,3 g",Na,"0,4 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_20412128_front_es.8.200.jpg
Soja — Frías — 1 l,180 kj(43 kcal),"1,7 g","0,3 g","3,7 g",3 g,"0,3 g","3,1 g","0,1 g","0,039 g",Na,Na,Na,Na,A,_843_601_909_9674_front_es.24.200.jpg
Chocolate negro — Dia — 100 g,2105 kj(503 kcal),31 g,20 g,49 g,46 g,Na,6 g,"0,04 g","0,016 g",Na,Na,Na,Na,E,_848_001_701_5532_front_es.39.200.jpg
Bebida de arroz — Alitey — 1 l,234 kj(56 kcal),1 g,"0,1 g","11,2 g","4,7 g","0,1 g","0,3 g","0,1 g","0,039 g",Na,Na,Na,Na,B,_842_335_286_1419_front_es.7.200.jpg
Galletitas saladas — Sin marca — 350 g,2054 kj(491 kcal),"21,9 g","10,4 g",65 g,"9,7 g","2,5 g","7,1 g","2,15 g","0,846 g",Na,Na,Na,Na,E,_24044240_front_es.7.200.jpg
Pastel de gloria — La Estepeña — 280 g,1607 kj(384 kcal),"13,93 g","1,12 g","55,82 g","50,06 g","2,66 g","5,8 g","0,01 g","0,004 g",Na,Na,Na,Na,D,_841_028_220_4003_front_es.7.200.jpg
"Ecorino Red Fruit — Gelatelli — 450 g (6 x 75 g), 720 ml (6 x 120 ml)",866 kj(207 kcal),"4,3 g","3,3 g",40 g,29 g,Na,1 g,"0,08 g","0,031 g",Na,Na,Na,Na,D,_20800864_front_es.8.200.jpg
Chocolate negro para repostería — Nestlé Postres — 250 g,2297 kj(549 kcal),"34,7 g","20,9 g","50,6 g","46,7 g","7,4 g","4,9 g","0,03 g","0,012 g",Na,Na,Na,Na,E,_841_010_003_4140_front_es.8.200.jpg
Nachos de maíz naturales — Ecocesta Productos Ecológicos — 125 g,2059 kj(492 kcal),24 g,"0,5 g","60,3 g","0,25 g",Na,"6,7 g",Na,Na,Na,Na,Na,Na,Na,_842_258_401_3504_front_es.5.200.jpg
"Tomate frito ""Orlando"" — 350 g",305 kj(73 kcal),"3,5 g","0,4 g","9,1 g","7,4 g",Na,"1,1 g","1,6 g","0,63 g",Na,Na,Na,Na,C,_841_006_600_0074_front_es.15.200.jpg
Muesli 7 fruits croustillant — Auchan — 500 g,1845 kj(441 kcal),"15,3 g","4,2 g","64,8 g","26,2 g","6,9 g","7,1 g","0,03 g","0,012 g",Na,Na,Na,Na,C,_359_671_035_4573_front_fr.16.200.jpg
Crunchy Muesli 4 Fruits Secs — Carrefour — 750 g,1975 kj(472 kcal),21 g,"7,8 g",59 g,21 g,"6,4 g","9,3 g","0,6 g","0,236 g",Na,Na,Na,Na,D,_356_007_082_1990_front_fr.3.200.jpg
Puerro Bandeja — La Huerta Fresca — 400 g,259 kj(62 kcal),"0,3 g","0,04 g","12,4 g","3,9 g","1,8 g","1,5 g","0,05 g","0,02 g",Na,Na,Na,Na,A,_20253455_front_es.22.200.jpg
Pizza vegetal con 5 verduras — Valsoia — 330 g,653 kj(156 kcal),"4,4 g","0,6 g",22 g,"2,5 g","2,8 g","5,5 g",1 g,"0,394 g",Na,Na,Na,Na,B,_800_604_024_3119_front_es.7.200.jpg
Ensalada de la huerta — Edulis — 400 g,187 kj(45 kcal),"1,7 g","0,2 g","4,7 g",2 g,Na,"1,5 g","0,1 g","0,039 g",Na,Na,Na,Na,B,_20581336_front_es.7.200.jpg
Ensalada de la huerta — Dimmidisì — 400 g,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,_843_701_070_5533_front_es.6.200.jpg
Ensalada Bulgur con hortalizas — Chef Select — 180 g,650 kj(155 kcal),"4,7 g","0,4 g",22 g,"2,2 g",Na,"4,5 g","1,03 g","0,406 g",Na,Na,Na,Na,C,_20842895_front_es.5.200.jpg
Ensalada Quinoa con hortalizas y sémola — Chef Select — 180 g,549 kj(131 kcal),"3,9 g","0,6 g",19 g,"3,8 g",Na,"3,7 g","1,08 g","0,425 g",Na,Na,Na,Na,C,_20842888_front_es.5.200.jpg
Ensalada de quinoa con hortalizas — Pierre Martinet — 250 g,549 kj(131 kcal),"3,9 g","0,6 g",19 g,"3,8 g",Na,"3,7 g","1,1 g","0,433 g",Na,Na,Na,Na,C,_328_178_088_8836_front_es.5.200.jpg
Ensalada de lentejas y bulgur — Hacendado — 250 g,"701,6 kj(168 kcal)",10 g,"1,5 g","13,8 g","2,9 g",Na,"4,2 g","0,8 g","0,315 g",Na,Na,Na,Na,C,_848_000_080_8783_front_es.8.200.jpg
Ensalada de quinoa — Carretilla — 230 g,732 kj(175 kcal),"8,2 g","0,9 g","18,3 g","5,2 g","3,6 g","5,3 g","1,05 g","0,413 g",Na,Na,Na,Na,B,_841_041_600_8910_front_es.6.200.jpg
Ensalada de alubias — RG Rogusa — 250 g,650 kj(155 kcal),"10,3 g",3 g,12 g,"0,7 g",Na,"3,8 g",1 g,"0,394 g",Na,Na,Na,Na,C,_841_171_327_5432_front_es.7.200.jpg
Ensalada de bulgur con garbanzos y alubias rojas — Ofterdinger — 200 g,561 kj(134 kcal),"6,9 g","0,6 g",14 g,4 g,Na,3 g,"1,23 g","0,484 g",Na,Na,Na,Na,C,_200_000_004_2869_front_es.8.200.jpg
Ensalada de bulgur con guindillas y menta — Ofterdinger — 200 g,483 kj(115 kcal),"5,9 g","0,5 g","13,1 g","3,2 g",Na,"1,6 g","1,4 g","0,551 g",Na,Na,Na,Na,C,_200_000_004_2868_front_es.7.200.jpg
"Ensalada de bulgur con garbanzos, guindillas y plantas aromáticas — Ofterdinger — 200 g",635 kj(152 kcal),"4,6 g","0,4 g","22,2 g","4,8 g",Na,"4,3 g","1,63 g","0,642 g",Na,Na,Na,Na,C,_200_000_004_3574_front_es.7.200.jpg
"Ensalada de quinoa con garbanzos, tomate y lentejas — Ofterdinger — 200 g",693 kj(166 kcal),"5,2 g","0,5 g","22,7 g","7,4 g",Na,"5,2 g","1,45 g","0,571 g",Na,Na,Na,Na,C,_200_000_004_3575_front_es.8.200.jpg
Cous cous — Sin marca — 100 g equivalente a 300 g,482 kj(115 kcal),"0,7 g","0,2 g","21,8 g","2,2 g",Na,"3,9 g","0,8 g","0,315 g",Na,Na,Na,Na,Na,_400_034_506_6057_front_es.7.200.jpg
Cous cous mediterráneo — Casa Morando — 300 g,1597 kj(382 kcal),"3,5 g","0,9 g","71,6 g","4,6 g",Na,"11,5 g","0,3 g","0,118 g",Na,Na,Na,Na,Na,_200_000_003_9522_front_es.6.200.jpg
Rollitos de primavera — Dia — 450 g (400 g rollitos - 50 g salsa) (4 uds),516 kj(123 kcal),1 g,"0,2 g","23,6 g","4,3 g",Na,"3,6 g","0,68 g","0,268 g",Na,Na,Na,Na,B,_848_001_765_4175_front_es.6.200.jpg
Rollitos de primavera — Chef Select — 280 g (4 x 70 g),565 kj(135 kcal),"1,9 g","0,2 g",21 g,"6,3 g",Na,7 g,1 g,"0,394 g",Na,Na,Na,Na,B,_20295929_front_es.8.200.jpg
Rollitos de espinacas — Ta-Tung — 240 g,892 kj(213 kcal),"7,2 g",1 g,"31,1 g","22,8 g","4,9 g","5,7 g","1,9 g","0,748 g",Na,Na,Na,Na,C,_843_700_075_2172_front_es.7.200.jpg
Rollitos de primavera — Ta-Tung — 280 g,557 kj(133 kcal),"1,9 g","0,2 g","20,6 g","6,3 g","2,3 g","6,9 g",1 g,"0,394 g",Na,Na,Na,Na,B,_843_700_075_2011_front_es.6.200.jpg
Risotto con tomates — Italia — 250 g (2 x 125 g),501 kj(120 kcal),"0,3 g","0,1 g","25,9 g","2,4 g","0,7 g","2,7 g","1,321 g","0,52 g",Na,Na,Na,Na,C,_29021826_front_de.9.200.jpg
Risotto mediterráneo — Casa Morando — 280 g,1580 kj(378 kcal),"1,9 g","1,6 g","79,7 g","0,8 g",Na,8 g,"0,3 g","0,118 g",Na,Na,Na,Na,Na,_200_000_002_1931_front_es.10.200.jpg
Aceite de oliva virgen — Hacendado — 500 ml,3439 kj(822 kcal),91 g,14 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,Na,D,_848_000_004_7137_front_es.15.200.jpg
Helado vegetal de avena sabor vainilla — Sin marca — 585 g e / 1000 ml e,837 kj(200 kcal),9 g,"3,5 g",28 g,23 g,1 g,"0,6 g","0,1 g","0,039 g",Na,Na,Na,Na,C,_733_097_130_0865_front_es.5.200.jpg
Lentejas Verdes — Celnat — 500 g,1385 kj(331 kcal),"1,2 g","0,2 g","55,4 g",1 g,"11,2 g",24 g,"0,1 g","0,039 g",Na,Na,Na,Na,A,_327_312_001_2483_front_es.4.200.jpg
Almendra Cacao — NaturGreen — 250 g (2 x 125 g),531 kj(127 kcal),"5,1 g","0,8 g","17,3 g","12,5 g",Na,"2,2 g","0,3 g","0,118 g",Na,Na,Na,Na,C,_843_700_293_2879_front_es.6.200.jpg
"Cerveza 0,0 Sin gluten — Ámbar — 33 cl",79 kj(19 kcal),0 g,0 g,"4,3 g","2,5 g","0,8 g",0 g,0 g,0 g,Na,Na,Na,Na,Na,_841_070_000_1559_front_es.14.200.jpg
Maíz pequeño frito — Plis-Plas — 300 g,1753 kj(419 kcal),12 g,"4,6 g",66 g,"0,7 g",Na,"7,2 g","1,5 g","0,591 g",Na,Na,Na,Na,D,_841_280_599_9243_front_es.20.200.jpg
